case,N,gamma_s,gamma_t,gap,participation,residue_abs,rigidity,residue_over_participation,asymptotic_participation
benchmark_gt0.01,32,0.25,0.01,0.010108814215417894,0.0004533925642432591,0.0004538221900116559,0.9990533169645455,1.0009475800934537,0.00044641789876112483
benchmark_gt0.01,34,0.25,0.01,0.01009113319922994,0.00037972166345708947,0.0003800423592434654,0.9991561577845839,1.0008445548864824,0.0003741788927761759
benchmark_gt0.01,35,0.25,0.01,0.0100837168156368,0.00034882006515625367,0.0003490988515382907,0.9992014113457875,1.000799226907753,0.0003438554532702877
benchmark_gt0.01,37,0.25,0.01,0.010071132978658262,0.0002963874110766782,0.00029660047285741165,0.999281653941139,1.0007188624508696,0.00029236987949734914
benchmark_gt0.01,39,0.25,0.01,0.010060949520655948,0.0002539563360677215,0.00025412141520404156,0.9993503926609746,1.000650029603026,0.0002506706254340397
benchmark_gt0.01,41,0.25,0.01,0.01005262042616131,0.00021925177567222478,0.00021938127114759225,0.9994097241086715,1.0005906245227454,0.00021653871109732402
benchmark_gt0.01,43,0.25,0.01,0.010045742170730398,0.00019059237804273748,0.0001906951076888988,0.9994612885070502,1.0005390018594462,0.00018833255103984953
benchmark_gt0.01,45,0.25,0.01,0.010040012164341472,0.0001667173514228391,0.00016679968644543088,0.9995063838287328,1.0004938599485242,0.00016482000521675992
benchmark_gt0.01,48,0.25,0.01,0.01003308209721454,0.00013784207172715834,0.00013790218166790063,0.9995641117492464,1.0004360783321748,0.00013636257025370844
benchmark_gt0.01,50,0.25,0.01,0.010029329083757643,0.00012220451565750064,0.0001222537655519874,0.9995971502860106,1.0004030120672855,0.0001209408148282225
benchmark_gt0.01,53,0.25,0.01,0.010024694015379185,0.00010289173074679199,0.00010292877597589437,0.9996400887045324,1.0003600408782465,0.00010188309726527042
benchmark_gt0.01,55,0.25,0.01,0.01002213424563736,9.222602348943802e-05,9.225692851327357e-05,0.9996650113510868,1.0003351009039123,9.135226874418358e-05
benchmark_gt0.01,58,0.25,0.01,0.010018917935422755,7.88247309321039e-05,7.884855823376946e-05,0.9996978092916432,1.000302282055185,7.811373133464737e-05
benchmark_gt0.01,61,0.25,0.01,0.010016295731676284,6.789888198484649e-05,6.79174901868993e-05,0.9997260175250651,1.0002740575619045,6.731445750301494e-05
benchmark_gt0.01,64,0.25,0.01,0.010014136563334941,5.890234722983651e-05,5.891704975109953e-05,0.9997504538783744,1.0002496084104366,5.8417551307341074e-05
benchmark_gt0.01,67,0.25,0.01,0.010012342581254725,5.142742189632326e-05,5.143916227476702e-05,0.9997717618653847,1.0002282902391535,5.1021906255656366e-05
benchmark_gt0.01,71,0.25,0.01,0.010010393273626097,4.3305306774573185e-05,4.331413523266976e-05,0.9997961760508628,1.0002038655018086,4.298193165878596e-05
benchmark_gt0.01,74,0.25,0.01,0.010009192658720134,3.8302744666811484e-05,3.830994674552081e-05,0.9998120049929289,1.0001880303558393,3.8027662288067656e-05
benchmark_gt0.01,78,0.25,0.01,0.010007863053624397,3.276272343598046e-05,3.2768281082232375e-05,0.9998303955511745,1.0001696332193741,3.2538845867727586e-05
benchmark_gt0.01,82,0.25,0.01,0.010006777974574055,2.8241560727150228e-05,2.8245904544576e-05,0.9998462142566932,1.0001538093969997,2.8057510974853473e-05
benchmark_gt0.01,86,0.25,0.01,0.010005883698408602,2.4515410035963382e-05,2.451884465640549e-05,0.9998599191564597,1.0001401004689323,2.4362713651689577e-05
benchmark_gt0.01,91,0.25,0.01,0.0100049739566338,2.072481930725027e-05,2.072741811961556e-05,0.9998746195811611,1.0001253961410599,2.060250065209499e-05
benchmark_gt0.01,95,0.25,0.01,0.010004376712087416,1.8236300363534774e-05,1.823840186866131e-05,0.9998847758075695,1.0001152374705748,1.813300241855033e-05
benchmark_gt0.01,100,0.25,0.01,0.010003757327140369,1.5655529752879318e-05,1.5657160833632432e-05,0.999895825253988,1.0001041855995205,1.5571100122952945e-05
esrstm_illustrative,2,0.3,0.0101,0.15504999999999997,0.5000000000000002,0.5224349546203727,0.9570569418796357,1.044869909240745,0.5471481023360659
esrstm_illustrative,3,0.3,0.0101,0.07940229936932297,0.23905587916289442,0.2505203260941805,0.9542374580536982,1.0479571846190578,0.2308281056730278
esrstm_illustrative,4,0.3,0.0101,0.04672822863387649,0.12634780487711925,0.13118365009834823,0.9631368297985035,1.0382740739020526,0.11818399010459024
esrstm_illustrative,5,0.3,0.0101,0.03143570183064859,0.07359676381734613,0.0757576340495258,0.9714765348827151,1.0293609408905882,0.06839351279200824
esrstm_illustrative,6,0.3,0.0101,0.023520212923859782,0.046292559240635384,0.04734667581539184,0.9777362073133384,1.0227707560793304,0.04306996723928216
esrstm_illustrative,7,0.3,0.0101,0.019058461110775582,0.030901901037514418,0.031458957884641446,0.9822925842245079,1.0180266206422308,0.028853513209128476
esrstm_illustrative,8,0.3,0.0101,0.016365613737054363,0.02161301737514586,0.021927889513343356,0.9856405634474812,1.0145686339270512,0.020264744530965405
esrstm_illustrative,9,0.3,0.0101,0.014648812053729737,0.015690969485098006,0.01587916937736066,0.9881480014608968,1.0119941532256111,0.01477299876307378
