N,gamma_b_over_J,slow_rigidity,min_rigidity,slow_residue_over_participation,max_residue_over_participation
6,0.22658939446607085,0.9850113301030897,0.92083728327759,1.015216748720384,1.0859681923831772
6,0.25671376842250326,0.981577580933565,0.8986374731829442,1.0187681742373471,1.112795793456101
6,0.29084308668979075,0.9776273317636938,0.8703176455754824,1.022884659122556,1.1490057740226187
6,0.32950979448841317,0.9732370462132288,0.834260055122581,1.0274989057300101,1.1986670030043165
6,0.3733171240188449,0.968580356657859,0.7884401163805524,1.032438860778218,1.2683271427012668
6,0.4229485053762257,0.963949972410454,0.7302415194843312,1.0373982349928383,1.3694099463231864
6,0.4791782286176434,0.9597549576691468,0.6558506047558608,1.041932622498343,1.5247374825128788
6,0.5428835233189814,0.9564737772352265,0.5578894089470525,1.0455069692455032,1.7924699482777002
6,0.6150582440722752,0.9545559331381265,0.4147270281380341,1.0476075474304318,2.411224569784174
6,0.6968283754285082,0.9542959715452938,0.042793241012354044,1.0478929282083187,23.36817629006666
6,0.7894695981756077,0.9557356856573128,0.38860626009422583,1.0463143890167126,2.573298741398373
6,0.8944271909999161,0.9586493245146467,0.5148031870694445,1.043134308268864,1.9424899167632868
6,1.0133385780132982,0.9626207828224003,0.6062908453583851,1.0388306775052203,1.6493734115495169
6,1.1480588739057127,0.9671678711582458,0.6806355457258855,1.0339466702946154,1.4692150685922787
6,1.300689825248473,0.9718532459613435,0.7423920093624312,1.0289619386009399,1.3469972566903077
6,1.473612599456155,0.9763471993379998,0.7934932117185284,1.0242258088905647,1.2602502267589968
6,1.6695249329417137,0.9804418292654723,0.8353749024934973,1.019948323450439,1.1970673251196748
6,1.891483218006352,0.9840344393578282,0.8693722080259845,1.0162245954039886,1.1502553115547849
6,2.1429501850539716,0.9870990894681878,0.8967416043603467,1.0130695192300934,1.1151484386779493
6,2.4278489240116694,0.9896585480850506,0.918625688675631,1.0104495150726074,1.088582664656031
6,2.750624087734529,0.9917620298086754,0.9360280943862948,1.0083063980508646,1.0683440016356007
6,3.116311232217777,0.9934697343392331,0.9498062270003564,1.006573190339925,1.052846329675226
6,3.5306153753802056,0.9948431994416552,0.9606771231993863,1.0051835309938681,1.0409324588365911
6,4.0,0.9959399233445496,0.9692307690575388,1.0040766280779425,1.0317460319304355
10,0.01,0.9999827431883165,0.999805632849197,1.0000172571094863,1.0001944049367368
10,0.011329469723303542,0.999977852727354,0.9997505150012067,1.0000221477631583,1.0002495472570905
10,0.012835688421125162,0.999971577447102,0.9996797665553774,1.0000284233607624,1.0003203360269322
10,0.014542154334489537,0.9999635259259663,0.9995889545827847,1.0000364754044402,1.0004112144450283
10,0.01647548972442066,0.999953196568481,0.999472388739656,1.0000468056221827,1.000527889780937
10,0.018665856200942244,0.9999399468936754,0.9993227644615484,1.0000600567129165,1.0006776944972493
10,0.021147425268811283,0.9999229544563344,0.9991307048219741,1.000077051480139,1.000870051509608
10,0.02395891143088217,0.9999011672480076,0.9988841722187998,1.0000988425208706,1.001117074243675
10,0.027144176165949066,0.9998732409542082,0.9985677128094727,1.0001267751156844,1.0014343415795988
10,0.030752912203613758,0.9998374599290094,0.9981614859947782,1.00016256649456,1.0018419003648387
10,0.0348414187714254,0.9997916382303582,0.9976400175492375,1.0002084051933167,1.0023655651429861
10,0.03947347990878038,0.9997329966259898,0.9969705972974873,1.0002670746838522,1.0030386078694042
10,0.044721359549995794,0.9996580112939234,0.9961112193361807,1.0003421057023631,1.0039039623169896
10,0.05066692890066491,0.9995622302910464,0.995007933111475,1.000437961435204,1.0050171126504635
10,0.057402943695285626,0.999440055234957,0.9935914350750238,1.0005602584788453,1.0064498995248405
10,0.06503449126242364,0.9992844888307574,0.9917726803434688,1.0007160234920487,1.0082955699623446
10,0.07368062997280773,0.9990868551193447,0.9894372280021152,1.0009139794763353,1.010675535242608
10,0.08347624664708567,0.9988365104953189,0.9864379473347378,1.0011648447893677,1.0137485106913269
10,0.09457416090031759,0.9985205822914163,0.9825855984630095,1.0014816096281047,1.0177230376307473
10,0.10714750925269857,0.9981238015007596,0.9776366504284254,1.001879725236909,1.0228749091615728
10,0.12139244620058345,0.9976285408381124,0.9712775005125095,1.0023770963488028,1.0295718777304477
10,0.13753120438672645,0.997015231615264,0.9631039953188669,1.0029937038974825,1.038309471106407
10,0.15581556161088883,0.9962634111391638,0.9525948098302308,1.0037506033234362,1.0497642750942742
10,0.17653076876901028,0.9953537335171159,0.9390768027384949,1.0046679550459576,1.064875627939955
10,0.2,0.9942713249909734,0.921679946520912,1.005761681811631,1.0849753255180656
