J_over_gamma_t,xi_read,N_floor,N_res
127.914046836196,63.95767488595782,6.963292325139064,42.516566493963026
135.54249376408254,67.77186168589998,7.1185487489241,43.79538134097
143.62588058302035,71.81352049466318,7.276832131427005,45.111776529090356
152.1913386745902,76.09621688694347,7.4382014877845215,46.46685642620148
161.26761746240678,80.63432546498291,7.602716983722708,47.86175785407487
170.8851809077575,85.44307810602244,7.770439957989419,49.297651042093726
181.07630975998174,90.53861508714527,7.941432945224134,50.7757406089976
191.87520990478345,95.93803925910626,8.115759699273687,52.29726657347722
203.31812717414422,101.65947345098012,8.293485216962537,53.863505394467545
215.44346900318845,107.7221212983026,8.474675762326513,55.47577104201182
228.2919333423335,114.14633169887088,8.659398891319004,57.13541609959491
241.90664525741153,120.95366711254482,8.847723476998851,58.84383289887076
256.3333016762518,128.16697593429348,9.039719735209314,60.60245468773588
271.62032476755695,135.81046918340172,9.235459250757668,62.41275683272886
287.8190244668795,143.9098017662407,9.435015004105244,64.2762580567647
304.9837706952068,152.49215858535405,9.638461398577808,66.19452171324207
323.1721758481955,161.58634578388114,9.84587428810645,68.16915709759272
342.44528816856945,171.22288743157222,10.057331005509333,70.20182079737314
362.8677966507226,181.434127976917,10.272910391324835,72.29421808203124
384.5082481652772,192.25434080926027,10.492692823206827,74.4481043335137
407.4392775323618,203.71984329528672,10.71676024589307,76.66528651891461
431.7378513158359,215.8691186759876,10.945196201757879,78.94762470640048
457.48552615674055,228.74294523324895,11.178085861960467,81.29703362568344
484.7687225130567,242.38453315960086,11.415516058200573,83.71548427435208
513.679014724559,256.83966959052213,11.657575315093199,86.20500557140703
544.3134383763522,272.1568722860932,11.904353883174561,88.76768605938882
576.7748159927352,288.3875524778187,12.155943772551534,91.40567565652613
611.1721021545632,305.5861874272063,12.412438787207133,94.12118746037376
647.6207491984753,323.8105032752832,12.673934559974853,96.91649960445424
686.2430947254305,343.12166879677244,12.940528588194864,99.79395716945999
727.1687722192038,363.5845007092545,13.212320270065389,102.75597415061985
770.5351461530549,385.26768122642045,13.489410941702815,105.80503548288037
816.4877730449796,408.24398858562,13.771903914924323,108.9436991256005
865.1808900090456,432.59054132345767,14.059904515767176,112.17459820850934
916.7779324426061,458.38905711933,14.353520123758974,115.50044324072644
971.4520825869747,485.72612707569914,14.65286021195356,118.92402438469841
